DATE,WILLREITIND
2003-11-25,2789.88
2003-11-26,2804.08
2003-11-27,.
2003-11-28,2812.31
2003-12-01,2848.52
2003-12-02,2840.76
2003-12-03,2839.87
2003-12-04,2825.55
2003-12-05,2823.17
2003-12-08,2842.45
2003-12-09,2845.19
2003-12-10,2835.72
2003-12-11,2854.61
2003-12-12,2864.41
2003-12-15,2847.61
2003-12-16,2866.26
2003-12-17,2867.22
2003-12-18,2866.76
2003-12-19,2871.25
2003-12-22,2884.55
2003-12-23,2880.85
2003-12-24,2888.76
2003-12-25,.
2003-12-26,2891.36
2003-12-29,2911.15
2003-12-30,2919.12
2003-12-31,2896.63
2004-01-01,.
2004-01-02,2892.84
2004-01-05,2892.95
2004-01-06,2899.13
2004-01-07,2880.79
2004-01-08,2891.09
2004-01-09,2896.31
2004-01-12,2895.49
2004-01-13,2900.82
2004-01-14,2916.73
2004-01-15,2910.29
2004-01-16,2888.08
2004-01-19,.
2004-01-20,2886.78
2004-01-21,2890.36
2004-01-22,2898.27
2004-01-23,2925.13
2004-01-26,2959.98
2004-01-27,2984.24
2004-01-28,2988.42
2004-01-29,2995.06
2004-01-30,3012.55
2004-02-02,3054.86
2004-02-03,3048.48
2004-02-04,2988.59
2004-02-05,3008.68
2004-02-06,3061.39
2004-02-09,3060.10
2004-02-10,3079.91
2004-02-11,3096.47
2004-02-12,3061.28
2004-02-13,3036.33
2004-02-16,.
2004-02-17,3043.76
2004-02-18,3035.16
2004-02-19,3034.35
2004-02-20,3032.96
2004-02-23,3034.40
2004-02-24,3039.31
2004-02-25,3064.30
2004-02-26,3057.85
2004-02-27,3062.71
2004-03-01,3099.60
2004-03-02,3122.96
2004-03-03,3139.95
2004-03-04,3153.56
2004-03-05,3172.40
2004-03-08,3170.67
2004-03-09,3171.20
2004-03-10,3133.78
2004-03-11,3096.63
2004-03-12,3130.48
2004-03-15,3107.71
2004-03-16,3117.58
2004-03-17,3167.77
2004-03-18,3182.83
2004-03-19,3186.78
2004-03-22,3174.92
2004-03-23,3191.53
2004-03-24,3165.07
2004-03-25,3205.65
2004-03-26,3170.10
2004-03-29,3189.96
2004-03-30,3222.49
2004-03-31,3246.77
2004-04-01,3277.39
2004-04-02,3245.47
2004-04-05,3120.91
2004-04-06,2994.81
2004-04-07,3043.65
2004-04-08,2985.20
2004-04-09,.
2004-04-12,2833.43
2004-04-13,2815.11
2004-04-14,2784.64
2004-04-15,2844.67
2004-04-16,2872.28
2004-04-19,2890.02
2004-04-20,2785.48
2004-04-21,2793.39
2004-04-22,2830.23
2004-04-23,2804.68
2004-04-26,2821.13
2004-04-27,2847.02
2004-04-28,2828.74
2004-04-29,2787.00
2004-04-30,2771.43
2004-05-03,2817.81
2004-05-04,2833.78
2004-05-05,2801.36
2004-05-06,2801.70
2004-05-07,2707.61
2004-05-10,2682.34
2004-05-11,2700.97
2004-05-12,2704.23
2004-05-13,2707.50
2004-05-14,2740.17
2004-05-17,2762.05
2004-05-18,2815.24
2004-05-19,2749.91
2004-05-20,2808.17
2004-05-21,2805.80
2004-05-24,2834.83
2004-05-25,2892.20
2004-05-26,2934.88
2004-05-27,2949.63
2004-05-28,2981.83
2004-05-31,.
2004-06-01,2949.13
2004-06-02,2995.02
2004-06-03,2974.77
2004-06-04,2979.07
2004-06-07,2999.78
2004-06-08,2993.85
2004-06-09,2981.11
2004-06-10,2970.01
2004-06-11,.
2004-06-14,2918.56
2004-06-15,2975.95
2004-06-16,2985.00
2004-06-17,3005.99
2004-06-18,3018.81
2004-06-21,3053.35
2004-06-22,3051.35
2004-06-23,3070.69
2004-06-24,3062.06
2004-06-25,3085.56
2004-06-28,3102.01
2004-06-29,3031.04
2004-06-30,3071.09
2004-07-01,3075.48
2004-07-02,3137.33
2004-07-05,.
2004-07-06,3123.91
2004-07-07,3157.60
2004-07-08,3108.78
2004-07-09,3109.67
2004-07-12,3137.68
2004-07-13,3107.90
2004-07-14,3129.52
2004-07-15,3157.99
2004-07-16,3150.25
2004-07-19,3177.44
2004-07-20,3184.75
2004-07-21,3156.68
2004-07-22,3083.58
2004-07-23,3056.61
2004-07-26,3032.27
2004-07-27,3036.85
2004-07-28,3063.86
2004-07-29,3060.90
2004-07-30,3086.44
2004-08-02,3139.83
2004-08-03,3149.22
2004-08-04,3181.48
2004-08-05,3125.91
2004-08-06,3115.33
2004-08-09,3122.12
2004-08-10,3133.86
2004-08-11,3130.30
2004-08-12,3096.24
2004-08-13,3097.11
2004-08-16,3142.96
2004-08-17,3174.25
2004-08-18,3216.24
2004-08-19,3160.49
2004-08-20,3256.84
2004-08-23,3254.12
2004-08-24,3301.15
2004-08-25,3279.67
2004-08-26,3295.15
2004-08-27,3297.50
2004-08-30,3315.67
2004-08-31,3341.31
2004-09-01,3331.18
2004-09-02,3349.19
2004-09-03,3369.63
2004-09-06,.
2004-09-07,3400.67
2004-09-08,3396.00
2004-09-09,3331.80
2004-09-10,3338.15
2004-09-13,3309.20
2004-09-14,3263.65
2004-09-15,3282.06
2004-09-16,3342.88
2004-09-17,3331.98
2004-09-20,3297.03
2004-09-21,3307.58
2004-09-22,3283.73
2004-09-23,3267.59
2004-09-24,3275.78
2004-09-27,3273.85
2004-09-28,3294.34
2004-09-29,3298.83
2004-09-30,3325.37
2004-10-01,3384.27
2004-10-04,3394.73
2004-10-05,3398.07
2004-10-06,3417.76
2004-10-07,3370.80
2004-10-08,3400.55
2004-10-11,3387.33
2004-10-12,3420.81
2004-10-13,3405.24
2004-10-14,3438.04
2004-10-15,3462.12
2004-10-18,3484.78
2004-10-19,3456.58
2004-10-20,3446.03
2004-10-21,3489.59
2004-10-22,3461.20
2004-10-25,3441.36
2004-10-26,3491.74
2004-10-27,3518.84
2004-10-28,3524.49
2004-10-29,3510.66
2004-11-01,3557.48
2004-11-02,3522.82
2004-11-03,3555.95
2004-11-04,3608.99
2004-11-05,3508.86
2004-11-08,3531.68
2004-11-09,3538.94
2004-11-10,3559.42
2004-11-11,3596.96
